更新时间,#genre#
2024-11-09 06:29:18,url
📺央视频道,#genre#
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$甘肃电信组播源|1920x1080
CCTV-1,http://110.177.146.152:888/rtp/239.1.1.7:8007$山西电信组播源|1920x1080
CCTV-1,http://27.10.129.243:8005/rtp/225.0.4.74:7980$重庆联通组播源|1920x1080
CCTV-1,http://123.13.247.101:4000/rtp/225.1.4.73:1102$河南联通组播源|1920x1080
CCTV-1,http://14.111.122.48:4070/rtp/235.254.198.51:1480$重庆电信组播源|1920x1080
CCTV-1,http://123.13.246.177:4000/rtp/225.1.4.73:1102$河南联通组播源|1920x1080
CCTV-1,http://183.188.23.36:6000/rtp/226.0.2.153:9136$山西联通组播源|1920x1080
CCTV-1,http://183.185.128.5:8085/rtp/226.0.2.153:9136$山西联通组播源|1920x1080
CCTV-1,http://183.29.197.170:8686/rtp/239.77.0.86:5146$广东电信组播源|1920x1080
CCTV-1,http://183.186.67.27:8085/rtp/226.0.2.153:9136$山西联通组播源|1920x1080
CCTV-1,http://110.177.146.152:888/udp/239.1.1.7:8007$订阅源|1920x1080
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8$订阅源|1920x1080
CCTV-1,http://183.66.15.146:60901/tsfile/live/0001_1.m3u8?key=txiptv$订阅源|1920x1080
CCTV-1,http://115.234.227.164:8808/udp/233.50.200.99:5140$订阅源|1920x1080
CCTV-1,http://36.35.16.98:9901/tsfile/live/0001_18.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-1,http://101.43.66.162/migunew.php?id=cctv1$订阅源
CCTV-1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3$订阅源
CCTV-1,http://218.89.240.144:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://222.134.245.16:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://121.24.98.232:8090/hls/9/index.m3u8$订阅源
